NAME,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS
Patterson,Stanislaus,0,0,1
Patterson,Stanislaus,0,0,0
San Carlos,San Mateo,1,0,1
Modesto,Stanislaus,0,0,0
Belmont,San Mateo,1,0,1
Modesto,Stanislaus,0,0,0
Turlock,Stanislaus,0,0,1
Hillsborough,San Mateo,0,0,1
Hughson,Stanislaus,0,0,1
Modesto,Stanislaus,0,0,1
Ceres,Stanislaus,0,0,1
Modesto,Stanislaus,0,0,0
Hughson,Stanislaus,0,0,0
Modesto,Stanislaus,0,0,0
Modesto,Stanislaus,0,0,0
Modesto,Stanislaus,0,0,0
Modesto,Stanislaus,0,0,0
San Bruno,San Mateo,1,0,1
Modesto,Stanislaus,0,0,0
Waterford,Stanislaus,0,0,1
Colma,San Mateo,0,0,1
Modesto,Stanislaus,0,0,0
Modesto,Stanislaus,0,0,1
Riverbank,Stanislaus,0,0,1
Oakdale,Stanislaus,0,0,0
Oakdale,Stanislaus,0,0,1
Oakdale,Stanislaus,0,0,0
Ross,Marin,0,0,1
San Anselmo,Marin,0,0,0
San Anselmo,Marin,0,0,1
Sonora,Tuolumne,0,0,1
Fairfax,Marin,0,0,1
Isleton,Sacramento,0,0,0
Isleton,Sacramento,0,0,1
Petaluma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,0
Sonoma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,1
Sonoma,Sonoma,0,0,0
Sonoma,Sonoma,0,0,0
Sonoma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,0
Petaluma,Sonoma,0,0,0
Sonoma,Sonoma,0,0,1
Galt,Sacramento,0,0,0
Cotati,Sonoma,0,0,1
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Rohnert Park,Sonoma,0,0,1
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Sebastopol,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
